Village_Name,Hospital_Count,Pond_Count
Karma,0,0
Karma CT,2,0
Karma Kalan,1,0
Karma Tanr CT,1,0
Karmatand,0,1
Karmatanr CT,1,0
Karo,0,0
Karogora,0,2
Karso,0,1
Karudih,1,0
Kasba,2,30
Kasea,0,0
Kasmar,0,0
Kasporeya,0,1
Kaspur,0,0
Katamkuli,0,4
Katari,0,2
Katchancho,2,0
Katghara,1,0
Kathbari,0,0
Katikora,0,1
Kauri Khutana,1,0
Kauribahiyar Mal,0,1
Kauribahiyarmal Chhit,0,2
Kechki,0,1
Kenduadih,0,2
Kenduatanr,0,1
Kendutha,0,1
Keneda,0,1
Kenke,0,3
Keradih,0,0
Kerwa,0,0
Kerwa Gidar,0,3
Kesabpur,0,28
Kesro,0,4
Ketar,1,0
Khadhwan,0,1
Khairbani,0,4
Khairwa,0,2
Khajuri,0,7
Khajuria,0,1
Khakhparta,0,1
Khakhra,0,1
Kharagdiha,0,1
Kharaundhi,0,4
Kharbanda,0,1
Kharbandh,0,0
Khaspura,0,5
Khejuria,1,0
Khejurkhal,0,8
Khelari CT,0,0
Kherwa,0,9
Khijri,2,0
Khokrutola,0,1
Khukhra,0,4
Khunti,8,2
Kinjriminjri,0,0
Kinni,0,1
Kishnapur,0,5
Kishunapur,0,5
Kitahatu,0,1
Kitajhor,0,6
Kitasoti Kalan,0,0
Kochapur,0,1
Kodag,0,0
Kodarma,3,0
Kodwatanralias Bhitugarha,0,0
Koibad,0,1
Koilari,1,0
Koiridih,0,1
Koldiha,0,0
Kolebira,1,0
Kolhar,0,2
Kolpotka,0,0
Kolpurwa,0,0
Konbegi,0,1
Konbir,2,0
Konka,1,0
Kontatola,0,0
Korambe,0,0
Kotal Pukur,0,2
Kristopur,0,14
Kuchila,0,0
Kuchpara,0,1
Kudari,0,0
Kudrum,0,0
Kui,0,1
Kuldiha,0,0
Kulgara,0,1
Kuli,0,3
Kumardih,0,0
Kumba Kalan,0,1
Kumba Khurd,0,2
Kumhariya,0,0
Kumirta,0,1
Kunda,1,0
Kundhit,1,0
Kundli,0,20
Kundo,0,0
Kundpani,0,1
Kurgi,0,2
Kurid,0,1
Kuruliya,0,1
Kuskhetra,0,2
Kuskira,0,0
Kusma,0,6
Kusmadanga,0,1
Kustanr,0,4
Kusumpokhhar,0,8
Kute Toli,1,0
Kutti,0,1
Labdera,0,1
Labri,0,9
Lachhmibathan,0,2
Lachhmimahuatanr,0,3
Lakhipur,0,23
Lakra Khundi,0,1
Lalapokhar,0,0
Lalbathan,0,1
Lalchand Dih,0,0
Lalgara,1,0
Lali,0,0
Landupdeh,0,2
Lapanga,1,0
Larikalan,0,1
Lasia,1,0
Latdag,0,0
Latehar,4,1
Latu,0,0
Lawagain,0,2
Lawapiri,1,0
Lem,0,2
Lerwa,0,1
Lesliganj,0,0
Letaria,2,0
Lidki,0,0
Litipara,1,0
Lodhma,0,0
Lodidih,0,0
Logai,0,7
Lohandiya,0,4
Lohardaga,11,1
Lohisini Alias Tulbul,0,1
Lonhra,0,2
Lota,0,0
Lowadag,0,0
Ludru,0,0
Lukluki Ghat,1,0
Madgari,0,7
Madhoapara,0,6
Madhraydi,0,1
Madhuapara,0,33
Madhuban,1,1
Madhupur,5,15
Madia Amanat Sarkar,0,34
Mahadevbaran,0,1
Mahadevpur,0,1
Maharajpur Bazar,0,1
Mahasingpur,0,16
Mahathadih,1,0
Maheshghati,0,28
Maheshpur,1,21
Mahil,0,8
Mahilong,2,1
Mahisol,0,2
Mahuamilan,0,1
Mahuatanr,0,2
Mahugain,0,1
Mahula,0,3
Mahulbana,1,0
Mahulbani Or Jadunathpur,0,1
Mahulidih,0,1
Mahulpahari,1,0
Mahura,1,0
Mail,0,1
Mailam,0,0
Maithon CT,1,0
Majhladih,1,0
Malghonghsa,0,1
Malgo,0,0
Malpahari,0,0
Maluka,0,2
Man Jari,0,2
Mandatand,0,0
Mandra,0,0
Mandro,0,0
Mandu CT,0,3
Manglanandpur,0,1
Mango,3,2
Mangrahi,0,2
Mangru Tikar,0,3
Manhu,0,0
Manihari,1,0
Manika,1,0
Manikpur,0,4
Manjhiaon,2,0
Manjhladih,0,2
Manohar Pur CT,1,0
Manri,0,0
Mansachandi Chhit,0,4
Mansadih,1,0
Mansbera Bera Bans Pahar,0,2
Marakol,0,7
Margodih,0,0
Marikdih,1,0
Mariyatu,0,0
Markhan,0,1
Marwa,1,0
Masanibeldiha,0,1
Masiatu,0,0
Maska Laiya,0,1
Masna Miapur,0,6
Matigara CT,0,6
Matkobera,1,1
Mayal,0,1
Medininagar,31,3
Meral,0,0
Merha,1,0
Merkhogundi,0,0
Meromgutu,0,1
Mihijam,5,1
Milik Mahabatpur,0,2
Mirik Chak,0,1
Mirzapur,0,1
Modidih,0,1
Modikola,0,5
Mohandih,1,0
Mohanpur,0,5
Mohnatanr,0,1
Mohuatanr,0,1
Moti Jharna,0,1
Motia,1,0
Motidih,0,1
Mouda,0,0
Mukimpur,0,4
Mundui,0,1
Muraidih CT,0,0
Murgu,0,0
Murki,0,0
Murli,0,1
Murma Kalan,1,0
Murpa,2,0
Murubanda,0,1
Musabani CT,1,0
Musurmu,0,1
Mutki,0,0
Nachna,0,1
Nadiya,1,0
Nagadari,0,1
Nagar,0,1
Nageswar Bag,0,5
Nagri,1,7
Naksimal,0,1
Nandkhurki CT,0,1
Napra,0,1
Narainpur Alias Pipra Bera,2,0
Narauli,0,0
Narayansoso,1,0
Nari,0,3
Narkhoria Khurd,1,0
Naro,1,0
Nasipur,0,1
Nathpur,0,0
Naudiha,0,0
Nauj,0,1
Nauka,0,1
Nawa Khas,0,2
Nawadih,1,4
Nawagarh,0,1
Nawapara,0,14
Nayadih,0,0
Neuri,2,0
Nichitpur,1,0
Nimmi,0,2
Nini,0,2
Nirhu,0,2
Nischintapur,0,8
Nischintpur,0,21
Nohatmurcha,0,1
Oberiya,0,0
Obra,0,1
Ormanjhi,0,1
Pabeya,0,0
Pachgain,0,0
Paharpur,0,11
Pairdih,0,1
Pakdih,0,1
Pakur,3,33
Pakuria,1,3
Palan,0,1
Palani,0,1
