S.No.,District Code,District Name,Sub-District Code,Sub-District Name,Village Code,Village Version,Village Name ,Village Name,Village Category,Village Status,Census 2001 Code,Census 2011 Code,
143,646,Balod,3321,Balod,443221,1,Salhe Tola,साल्हे टोला,Rural,Inhabitant,01211600,443221,
144,646,Balod,3321,Balod,443144,1,Sankara (J),सांकरा ज,Rural,Inhabitant,01203900,443144,
145,646,Balod,3321,Balod,443219,1,Sankara K,सांकरा क,Rural,Inhabitant,01211400,443219,
146,646,Balod,3321,Balod,443220,1,Semhakona,सेमहाकोना,Rural,Inhabitant,01211500,443220,
147,646,Balod,3321,Balod,443209,1,Siwani,सिवनी,Rural,Inhabitant,01210400,443209,
148,646,Balod,3321,Balod,443204,1,Sonhtara,सोंहतरा,Rural,Inhabitant,01209900,443204,
149,646,Balod,3321,Balod,443145,1,Sundra,सुंदरा,Rural,Inhabitant,01204000,443145,
150,646,Balod,3321,Balod,443234,2,Talgaon,तलगाँव,Rural,Inhabitant,01223500,443234,
151,646,Balod,3321,Balod,443191,1,Tamora,तमोरा,Rural,Inhabitant,01208600,443191,
152,646,Balod,3321,Balod,443154,1,Taroud,तरौद,Rural,Inhabitant,01204900,443154,
153,646,Balod,3321,Balod,443170,1,Tekapar,टेकापार,Rural,Inhabitant,01206500,443170,
154,646,Balod,3321,Balod,443200,1,Umaradah,उमारादाह,Rural,Inhabitant,01209500,443200,
155,646,Balod,3322,Daundi,443295,1,Adejhar,अड़ेझर,Rural,Inhabitant,01218600,443295,
156,646,Balod,3322,Daundi,443270,1,Adjal,अड़जल,Rural,Inhabitant,01216100,443270,
157,646,Balod,3322,Daundi,443257,1,Admudkasa,अडमुडकसा,Rural,Inhabitant,01214700,443257,
158,646,Balod,3322,Daundi,443307,1,Akola,अकोला,Rural,Inhabitant,01219800,443307,
159,646,Balod,3322,Daundi,443342,2,Amabahara,आमाबहरा,Rural,Inhabitant,01223700,443342,
160,646,Balod,3322,Daundi,443338,1,Amadula,आमादुला,Rural,Inhabitant,01223100,443338,
161,646,Balod,3322,Daundi,443296,1,Auratola,औराटोला,Rural,Inhabitant,01218700,443296,
162,646,Balod,3322,Daundi,443309,1,Awari,अवरी,Rural,Inhabitant,01220200,443309,
163,646,Balod,3322,Daundi,443245,1,Bakali Tola,बकली टोला,Rural,Inhabitant,01213500,443245,
164,646,Balod,3322,Daundi,443330,1,Baloda,बलोदा,Rural,Inhabitant,01222300,443330,
165,646,Balod,3322,Daundi,443314,1,Bamhani,बम्हनी,Rural,Inhabitant,01220700,443314,
166,646,Balod,3322,Daundi,443239,1,Bangaon,बनगांव,Rural,Inhabitant,01212900,443239,
167,646,Balod,3322,Daundi,443308,1,Belargondi Alias Sattaitola,बेलरगोंदी अलियास सट्टाईटोला,Rural,Inhabitant,01220000,443308,
168,646,Balod,3322,Daundi,443244,1,Bhaisbor,भैसबोर,Rural,Inhabitant,01213400,443244,
169,646,Balod,3322,Daundi,443251,1,Bharitola,भरीटोला,Rural,Inhabitant,01214100,443251,
170,646,Balod,3322,Daundi,443287,1,Bharritola,भर्रीटोला,Rural,Inhabitant,01217800,443287,
171,646,Balod,3322,Daundi,443293,1,Bhimatola,भीमटोला,Rural,Inhabitant,01218400,443293,
172,646,Balod,3322,Daundi,953887,1,Bhoyartola,भोयरटोला,Rural,Inhabitant,,000000,
173,646,Balod,3322,Daundi,443264,1,Bital,बीतल,Rural,Inhabitant,01215400,443264,
174,646,Balod,3322,Daundi,443292,1,Borgaon,बोरगांव,Rural,Inhabitant,01218300,443292,
175,646,Balod,3322,Daundi,443241,1,Borid,बोरिद,Rural,Inhabitant,01213100,443241,
176,646,Balod,3322,Daundi,443312,1,Chhindgaon,छिंदगाँव,Rural,Inhabitant,01220500,443312,
177,646,Balod,3322,Daundi,443337,1,Chiharo,चिहारो,Rural,Inhabitant,01223000,443337,
178,646,Balod,3322,Daundi,931295,2,Chikhalakasa,चिखलाकसा,Urban,Inhabitant,,000000,
179,646,Balod,3322,Daundi,443274,1,Chikhali,चिखली,Rural,Inhabitant,01216500,443274,
180,646,Balod,3322,Daundi,443250,1,Chipra,चिपरा,Rural,Inhabitant,01214000,443250,
181,646,Balod,3322,Daundi,443240,1,Danitola,दानीटोला,Rural,Inhabitant,01213000,443240,
182,646,Balod,3322,Daundi,443254,1,Deopandum,देवपांडूम,Rural,Inhabitant,01214400,443254,
183,646,Balod,3322,Daundi,443236,1,Dhobani,धोबनी,Rural,Inhabitant,01212600,443236,
184,646,Balod,3322,Daundi,443259,1,Dhobani,धोबनी,Rural,Inhabitant,01214900,443259,
185,646,Balod,3322,Daundi,443263,1,Dhobedand,धोबेडांड,Rural,Inhabitant,01215300,443263,
186,646,Balod,3322,Daundi,443285,1,Dhorritema,धोर्रीटेमा,Rural,Inhabitant,01217600,443285,
187,646,Balod,3322,Daundi,443276,1,Dhotim Tola,धोतिम टोला,Rural,Inhabitant,01216700,443276,
188,646,Balod,3322,Daundi,931294,1,Dondi,डौंडी,Urban,Inhabitant,,000000,
189,646,Balod,3322,Daundi,443288,1,Gangolidih,गांडोलीडीह,Rural,Inhabitant,01217900,443288,
190,646,Balod,3322,Daundi,443289,1,Ghorda,घोरबा,Rural,Inhabitant,01218000,443289,
191,646,Balod,3322,Daundi,443235,1,Ghotiya,घोटिया,Rural,Inhabitant,01212500,443235,
192,646,Balod,3322,Daundi,443249,1,Ghurratola,घुर्राटोला,Rural,Inhabitant,01213900,443249,
193,646,Balod,3322,Daundi,443246,1,Gidhali,गिधली,Rural,Inhabitant,01213600,443246,
194,646,Balod,3322,Daundi,443273,1,Gotulmunda,गोटुलमुंडा,Rural,Inhabitant,01216400,443273,
195,646,Balod,3322,Daundi,443311,1,Gudum,गुडुम,Rural,Inhabitant,01220400,443311,
196,646,Balod,3322,Daundi,443242,1,Gujra,गुजरा,Rural,Inhabitant,01213200,443242,
197,646,Balod,3322,Daundi,443304,1,Hidkapar,हिडकापार,Rural,Inhabitant,01219500,443304,
198,646,Balod,3322,Daundi,443266,1,Hitkasa,हितकसा,Rural,Inhabitant,01215600,443266,
199,646,Balod,3322,Daundi,443294,1,Hodakasa,होडाकसा,Rural,Inhabitant,01218500,443294,
200,646,Balod,3322,Daundi,443324,1,Jabkasa,जाबकसा,Rural,Inhabitant,01221700,443324,
201,646,Balod,3322,Daundi,443261,1,Jabudwahi,जबुदवाही,Rural,Inhabitant,01215100,443261,
202,646,Balod,3322,Daundi,443269,1,Jamani,जमनी,Rural,Inhabitant,01216000,443269,
203,646,Balod,3322,Daundi,443275,1,Jamruwa,जमरुवा,Rural,Inhabitant,01216600,443275,
